,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
1,3.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
2,3.0,0.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0
3,4.0,0.0,7.0,0.0,50.0,0.0,50.0,0.0,0.0
4,5.0,2.0,10.0,0.0,50.0,0.0,50.0,0.0,0.0
5,12.0,2.0,14.0,0.0,50.0,0.0,50.0,0.0,0.0
6,15.0,2.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
7,13.0,2.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
8,16.0,3.0,22.0,0.0,50.0,0.0,50.0,0.0,0.0
9,15.0,3.0,22.0,0.0,50.0,0.0,50.0,0.0,0.0
10,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
11,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
12,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
13,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
14,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
15,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
16,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
17,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
18,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
19,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
20,16.0,4.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
21,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
22,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
23,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
24,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
25,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
26,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
27,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
28,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
29,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
30,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
31,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
32,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
33,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
34,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
35,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
36,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
37,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
38,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
39,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
40,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
41,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
42,16.0,5.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
43,16.0,6.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
44,16.0,6.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
45,16.0,6.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
46,16.0,6.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
47,16.0,6.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
48,16.0,6.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
49,16.0,6.0,24.0,0.0,50.0,0.0,50.0,0.0,0.0
50,16.0,6.0,25.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
51,20.0,6.0,24.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
52,16.0,5.0,27.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
53,20.0,6.0,29.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
54,21.0,6.0,32.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
55,20.0,6.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
56,22.0,6.0,30.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
57,20.0,6.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
58,20.0,6.0,32.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
59,20.0,6.0,33.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
60,21.0,6.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
61,21.0,6.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
62,21.0,6.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
63,21.0,6.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
64,24.0,5.0,33.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
65,22.0,5.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
66,22.0,5.0,30.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
67,22.0,5.0,30.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
68,21.0,6.0,30.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
69,19.0,6.0,33.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
70,21.0,6.0,34.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
71,20.0,6.0,31.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
72,19.0,6.0,32.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
73,22.0,6.0,33.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
74,16.0,9.0,39.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
