,Roll,Pitch,Yaw,Gamma Ordered,Theta Ordered,point_index
0,5.0,-2.0,0.0,-40.0,40.0,0
1,2.0,-1.0,0.0,-40.0,40.0,0
2,0.0,0.0,1.0,-40.0,40.0,0
3,-4.0,0.0,1.0,-40.0,40.0,0
4,-6.0,0.0,2.0,-40.0,40.0,0
5,-8.0,0.0,3.0,-40.0,40.0,0
6,-10.0,0.0,4.0,-40.0,40.0,0
7,-11.0,0.0,4.0,-40.0,40.0,0
8,-13.0,0.0,4.0,-40.0,40.0,0
9,-14.0,-1.0,5.0,-40.0,40.0,0
10,-15.0,-1.0,5.0,-40.0,40.0,0
11,-16.0,-1.0,6.0,-40.0,40.0,0
12,-16.0,-1.0,7.0,-40.0,40.0,0
13,-17.0,-1.0,7.0,-40.0,40.0,0
14,-18.0,-1.0,8.0,-40.0,40.0,0
15,-18.0,-1.0,8.0,-40.0,40.0,0
16,-19.0,-1.0,9.0,-40.0,40.0,0
17,-19.0,-1.0,9.0,-40.0,40.0,0
18,-20.0,-1.0,10.0,-40.0,40.0,0
19,-20.0,-2.0,11.0,-40.0,40.0,0
20,-20.0,-2.0,11.0,-40.0,40.0,0
21,-20.0,-2.0,12.0,-40.0,40.0,0
22,-21.0,-2.0,12.0,-40.0,40.0,0
23,-21.0,-2.0,13.0,-40.0,40.0,0
24,-21.0,-2.0,14.0,-40.0,40.0,0
25,-22.0,-2.0,14.0,-40.0,40.0,0
26,-22.0,-2.0,15.0,-40.0,40.0,0
27,-22.0,-2.0,16.0,-40.0,40.0,0
28,-22.0,-2.0,16.0,-40.0,40.0,0
29,-22.0,-2.0,17.0,-40.0,40.0,0
30,-22.0,-2.0,18.0,-40.0,40.0,0
31,-23.0,-2.0,18.0,-40.0,40.0,0
32,-23.0,-2.0,19.0,-40.0,40.0,0
33,-23.0,-2.0,19.0,-40.0,40.0,0
34,-23.0,-2.0,20.0,-40.0,40.0,0
35,-23.0,-2.0,21.0,-40.0,40.0,0
36,-23.0,-2.0,21.0,-40.0,40.0,0
37,-23.0,-2.0,22.0,-40.0,40.0,0
38,-23.0,-2.0,23.0,-40.0,40.0,0
39,-24.0,-2.0,23.0,-40.0,40.0,0
40,-24.0,-2.0,24.0,-40.0,40.0,0
41,-24.0,-2.0,25.0,-40.0,40.0,0
42,-24.0,-2.0,25.0,-40.0,40.0,0
43,-24.0,-2.0,26.0,-40.0,40.0,0
44,-24.0,-2.0,26.0,-40.0,40.0,0
45,-24.0,-2.0,27.0,-40.0,40.0,0
46,-24.0,-2.0,28.0,-40.0,40.0,0
47,-24.0,-3.0,28.0,-40.0,40.0,0
48,-24.0,-3.0,29.0,-40.0,40.0,0
49,-24.0,-3.0,30.0,-40.0,40.0,0
0,-25.0,-3.0,31.0,-40.0,-40.0,1
1,-25.0,-3.0,32.0,-40.0,-40.0,1
2,-25.0,-3.0,33.0,-40.0,-40.0,1
3,-25.0,-3.0,34.0,-40.0,-40.0,1
4,-25.0,-2.0,34.0,-40.0,-40.0,1
5,-25.0,-2.0,35.0,-40.0,-40.0,1
6,-25.0,-2.0,36.0,-40.0,-40.0,1
7,-24.0,-2.0,36.0,-40.0,-40.0,1
8,-24.0,-2.0,37.0,-40.0,-40.0,1
9,-23.0,-2.0,37.0,-40.0,-40.0,1
10,-23.0,-2.0,38.0,-40.0,-40.0,1
11,-22.0,-1.0,38.0,-40.0,-40.0,1
12,-22.0,-1.0,39.0,-40.0,-40.0,1
13,-21.0,-1.0,39.0,-40.0,-40.0,1
14,-21.0,-1.0,40.0,-40.0,-40.0,1
15,-20.0,-1.0,40.0,-40.0,-40.0,1
16,-20.0,-1.0,40.0,-40.0,-40.0,1
17,-20.0,-1.0,41.0,-40.0,-40.0,1
18,-19.0,0.0,41.0,-40.0,-40.0,1
19,-19.0,0.0,42.0,-40.0,-40.0,1
20,-18.0,0.0,42.0,-40.0,-40.0,1
21,-18.0,0.0,43.0,-40.0,-40.0,1
22,-17.0,0.0,43.0,-40.0,-40.0,1
23,-17.0,0.0,44.0,-40.0,-40.0,1
24,-17.0,0.0,44.0,-40.0,-40.0,1
25,-16.0,0.0,45.0,-40.0,-40.0,1
26,-16.0,0.0,45.0,-40.0,-40.0,1
27,-16.0,0.0,46.0,-40.0,-40.0,1
28,-15.0,0.0,46.0,-40.0,-40.0,1
29,-15.0,0.0,47.0,-40.0,-40.0,1
30,-15.0,0.0,47.0,-40.0,-40.0,1
31,-14.0,0.0,48.0,-40.0,-40.0,1
32,-14.0,0.0,48.0,-40.0,-40.0,1
33,-14.0,0.0,49.0,-40.0,-40.0,1
34,-14.0,0.0,49.0,-40.0,-40.0,1
35,-13.0,0.0,50.0,-40.0,-40.0,1
36,-13.0,0.0,50.0,-40.0,-40.0,1
37,-13.0,0.0,51.0,-40.0,-40.0,1
38,-13.0,0.0,51.0,-40.0,-40.0,1
39,-13.0,1.0,52.0,-40.0,-40.0,1
40,-12.0,1.0,52.0,-40.0,-40.0,1
41,-12.0,1.0,52.0,-40.0,-40.0,1
42,-12.0,1.0,53.0,-40.0,-40.0,1
43,-12.0,1.0,53.0,-40.0,-40.0,1
44,-12.0,1.0,54.0,-40.0,-40.0,1
45,-11.0,1.0,54.0,-40.0,-40.0,1
46,-11.0,1.0,55.0,-40.0,-40.0,1
47,-11.0,1.0,55.0,-40.0,-40.0,1
48,-11.0,1.0,56.0,-40.0,-40.0,1
49,-11.0,1.0,56.0,-40.0,-40.0,1
0,-10.0,1.0,57.0,-40.0,44.44444444444444,2
1,-10.0,1.0,57.0,-40.0,44.44444444444444,2
2,-10.0,1.0,58.0,-40.0,44.44444444444444,2
3,-10.0,1.0,58.0,-40.0,44.44444444444444,2
4,-10.0,1.0,58.0,-40.0,44.44444444444444,2
5,-10.0,1.0,59.0,-40.0,44.44444444444444,2
6,-10.0,1.0,59.0,-40.0,44.44444444444444,2
7,-10.0,1.0,60.0,-40.0,44.44444444444444,2
8,-10.0,1.0,60.0,-40.0,44.44444444444444,2
9,-11.0,1.0,61.0,-40.0,44.44444444444444,2
10,-11.0,1.0,61.0,-40.0,44.44444444444444,2
11,-12.0,0.0,62.0,-40.0,44.44444444444444,2
12,-12.0,0.0,63.0,-40.0,44.44444444444444,2
13,-13.0,0.0,63.0,-40.0,44.44444444444444,2
14,-13.0,0.0,64.0,-40.0,44.44444444444444,2
15,-14.0,0.0,65.0,-40.0,44.44444444444444,2
16,-14.0,0.0,65.0,-40.0,44.44444444444444,2
17,-15.0,0.0,66.0,-40.0,44.44444444444444,2
18,-15.0,0.0,67.0,-40.0,44.44444444444444,2
19,-16.0,0.0,67.0,-40.0,44.44444444444444,2
20,-16.0,0.0,68.0,-40.0,44.44444444444444,2
21,-16.0,0.0,68.0,-40.0,44.44444444444444,2
22,-17.0,0.0,69.0,-40.0,44.44444444444444,2
23,-17.0,0.0,69.0,-40.0,44.44444444444444,2
24,-17.0,0.0,70.0,-40.0,44.44444444444444,2
25,-18.0,0.0,71.0,-40.0,44.44444444444444,2
26,-18.0,0.0,71.0,-40.0,44.44444444444444,2
27,-18.0,-1.0,72.0,-40.0,44.44444444444444,2
28,-19.0,-1.0,73.0,-40.0,44.44444444444444,2
